Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
45, 128, 1, 1, 32, 0.165182, 0.141613, N/A, 0.000683701, 0.000925317, 0.259873, 0.00149898, 2, 2, 1, 2, 1, 1, 45.754, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 128, 1, 1, 32, 0.165182, 0.141613, N/A, 0.000683701, 0.000925317, 0.259873, 0.00149898, 2, 2, 0.5, 2, 1, 1, 45.754, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 32, 0.300907, 0.240083, N/A, 0.00342953, 0.00431011, 7.53642, 0.0300607, 2, 2, 2, 8, 1, 1, 73.0089, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 1024, 0.432308, 1.07037, N/A, 0.134167, 0.137763, 9.22571, 0.380433, 2, 2, 1, 1, 1, 2, 5.76896, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 1024, 0.432308, 1.07037, N/A, 0.134167, 0.137763, 9.22571, 0.380433, 2, 2, 1, 1, 1, 2, 5.76896, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 1024, 0.432308, 1.07037, N/A, 0.134167, 0.137763, 9.22571, 0.380433, 2, 2, 1, 1, 1, 2, 5.76896, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 16, 0.300907, 0.240083, N/A, 0.00311658, 0.00270585, 7.55496, 0.0294181, 2, 2, 0.125, 16, 1, 1, 74.6037, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 1024, 0.432308, 1.07037, N/A, 0.134167, 0.137763, 9.22571, 0.380433, 2, 2, 1, 1, 1, 2, 5.76896, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 1024, 0.432308, 1.07037, N/A, 0.134167, 0.137763, 9.22571, 0.380433, 2, 2, 1, 1, 1, 2, 5.76896, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 1024, 0.432308, 1.07037, N/A, 0.134167, 0.137763, 9.22571, 0.380433, 2, 2, 0.5, 1, 1, 2, 5.76896, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 1024, 0.432308, 1.07037, N/A, 0.134167, 0.137763, 9.22571, 0.380433, 2, 2, 0.25, 1, 1, 2, 5.76896, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 16, 0.300907, 0.240083, N/A, 0.00311658, 0.00270585, 7.55496, 0.0294181, 2, 2, 0.03125, 16, 1, 1, 74.6037, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 8, 0.300907, 0.240083, N/A, 0.00296498, 0.00190485, 7.61572, 0.0294264, 2, 2, 0.03125, 32, 1, 1, 74.5827, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 1024, 0.432308, 1.07037, N/A, 0.134167, 0.137763, 9.22571, 0.380433, 2, 2, 0.25, 1, 1, 2, 5.76896, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 512, 0.30605, 0.440457, N/A, 0.0372974, 0.0455543, 7.33482, 0.118715, 2, 2, 0.125, 2, 1, 1, 18.4872, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 512, 0.30605, 0.440457, N/A, 0.0372974, 0.0455543, 7.33482, 0.118715, 2, 2, 0.0625, 2, 1, 1, 18.4872, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 512, 0.30605, 0.440457, N/A, 0.0372974, 0.0455543, 7.33482, 0.118715, 2, 2, 0.0625, 2, 1, 1, 18.4872, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 512, 0.30605, 0.440457, N/A, 0.0372974, 0.0455543, 7.33482, 0.118715, 2, 2, 0.0625, 2, 1, 1, 18.4872, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 512, 0.30605, 0.440457, N/A, 0.0372974, 0.0455543, 7.33482, 0.118715, 2, 2, 0.0625, 2, 1, 1, 18.4872, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 1024, 0.432308, 1.07037, N/A, 0.134167, 0.137763, 9.22571, 0.380433, 2, 2, 1, 1, 1, 2, 5.76896, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 1024, 0.432308, 1.07037, N/A, 0.134167, 0.137763, 9.22571, 0.380433, 2, 2, 1, 1, 1, 2, 5.76896, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 1024, 0.432308, 1.07037, N/A, 0.134167, 0.137763, 9.22571, 0.380433, 2, 2, 1, 1, 1, 2, 5.76896, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 1024, 0.432308, 1.07037, N/A, 0.134167, 0.137763, 9.22571, 0.380433, 2, 2, 1, 1, 1, 2, 5.76896, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 1024, 0.432308, 1.07037, N/A, 0.134167, 0.137763, 9.22571, 0.380433, 2, 2, 1, 1, 1, 2, 5.76896, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 1024, 0.432308, 1.07037, N/A, 0.134167, 0.137763, 9.22571, 0.380433, 2, 2, 1, 1, 1, 2, 5.76896, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 1024, 0.432308, 1.07037, N/A, 0.134167, 0.137763, 9.22571, 0.380433, 2, 2, 1, 1, 1, 2, 5.76896, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
